,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r
0,0.5220559488103216,0.4872457619595968,0.47888601778572343,0.5506210196098172,0.46091583041109063,0.5280222829049209,0.48506192390370145,0.5348054260280906,0.5351280241603208,0.5384157025849736,0.48274539734052824,0.4498753797115807,0.46043015448221974,0.4281804482688572,0.4938228639568157,0.5012192578003284,0.533494866350955,0.5478070981424518
1,0.5196684782627857,0.4871386630000251,0.47795981887500033,0.5509723906554624,0.45911345194041786,0.5284869363674353,0.4845737202698167,0.5322936806133886,0.5350564715310788,0.5391145888462507,0.484489182841612,0.4526025518912632,0.4578108820981115,0.42824565932517095,0.4953467315424966,0.5011014131539063,0.5322367649156131,0.5463873966576684
2,0.5204255125786895,0.4888762777648379,0.47740397535379514,0.5474552176915382,0.455997083268365,0.5290097843701853,0.4817877727072206,0.5362598046698581,0.5359832031814059,0.5387299028663796,0.48420792813607216,0.4552680175526292,0.45517048244262287,0.42971433771211054,0.49487082255312936,0.5011061385206733,0.5324571962055581,0.5443596114551181
3,0.5235245905080237,0.4926791184733311,0.481692065177401,0.5466104283219654,0.4570105763056413,0.5232565209235083,0.48089017445640764,0.5338295962888412,0.534192048304148,0.5389294818775311,0.48178093897158725,0.45581744651629724,0.45524422455233216,0.43048689166078435,0.49493929500252376,0.500759160497413,0.5349729638802663,0.5430231685518684
4,0.5238911075692606,0.4949101895517622,0.4846243662879374,0.5492847097018849,0.4571061742401263,0.5240956529352702,0.4803804331908707,0.5378460008314224,0.5351532714401351,0.5390511048083806,0.48314079270832505,0.45831709647819313,0.452857824476852,0.4286652807832382,0.49564805786278104,0.4976883257125207,0.5335151697459458,0.5406931922607033
5,0.5234974131524499,0.49530599707929535,0.4817791923589512,0.5503363765648872,0.45852011972129,0.5230245643622249,0.48134458123670526,0.5295453618724765,0.5322224276871029,0.5391693403169179,0.4834184421996092,0.45799982586950394,0.4545578828514622,0.4269956805255993,0.49702808221750716,0.4959304252471129,0.5330604252047833,0.5409964467491509
6,0.5229856914149738,0.4959407622929599,0.4825224185979466,0.551309632899141,0.458195408500327,0.5269712600552628,0.4818180381026466,0.5347778468935998,0.5293143500974165,0.5409233350713911,0.48261294230680274,0.4577188758704402,0.45538178659043427,0.42766445609887055,0.49861331151059707,0.49383558572597125,0.5327821312534367,0.5415262759376255
7,0.522808056321564,0.49651606199805065,0.4806565792236227,0.5526516642767767,0.45984540919577177,0.5282609875092384,0.48537578720459035,0.5289838291915967,0.5300962559880595,0.5392017265066193,0.48204790167252315,0.4597242195380473,0.45561186926789565,0.4266177662494748,0.4968798003881506,0.4943987117485925,0.5335972870834195,0.5395692772616111
8,0.522529369290924,0.49508393700937464,0.4764598789423312,0.5556250620891953,0.45871113034686783,0.5299790561207468,0.4848724871494586,0.5280238822496435,0.5338876197526334,0.5358888368660859,0.4821233403173657,0.459858424997172,0.4587519596296096,0.42422135573974373,0.49373463988645316,0.49840931430419766,0.5347260685033219,0.5380317154271917
9,0.5209673994733524,0.4948898442554318,0.47642803414882917,0.5470429142728986,0.4574513085338906,0.5289735886251365,0.4831318398043834,0.5273964099088638,0.5344211610558905,0.5367023958996321,0.48078611177982994,0.4595240235767597,0.45968198178429526,0.4233466156947821,0.49433523654952244,0.4992496431203989,0.5354571614846252,0.5384183652453802
10,0.5187209881044588,0.49184222902176217,0.47905784465418816,0.5531535003002582,0.45951486503501104,0.5290009316788739,0.485282572057079,0.5319474460038671,0.5326193218813653,0.5379767073969849,0.48158583887399176,0.45684732910663844,0.458486701591189,0.4249592284120517,0.49628774985211693,0.4983382032819297,0.5346744278283372,0.5416826472035037
11,0.5203613037775541,0.4909921906475831,0.4836468260271575,0.5513448145201018,0.4588431823046788,0.5253128314458833,0.48540341831458217,0.5306225878976166,0.533705794437174,0.5371244208727263,0.48206271711530074,0.4581368981273837,0.45839930451884936,0.42430118463231203,0.4936485940829772,0.5002857948028585,0.5342687526168017,0.5405528405146085
12,0.5211678902971509,0.49277710445650486,0.4842153446782554,0.5488142971958658,0.4569126000298647,0.5265250313769378,0.482037286731423,0.5350620480680889,0.5320442035418042,0.5375778150445,0.47959756993852026,0.45736243777360414,0.4600465208009767,0.4272457339185281,0.49705438701321975,0.5020469123484151,0.5383916836656661,0.5418866437043739
